,기간,행정구역명,주거환경,경제환경,사회환경,교육환경
1,2011,종로구,6,4.93,5.57,5.03
1,2011,중구,5.52,5.5,5.47,5.19
1,2011,용산구,5.7,4.88,5.15,5.31
1,2011,성동구,5.55,5.19,5.79,5.54
1,2011,광진구,6.24,4.6,4.94,5.14
1,2011,동대문구,5.81,4.73,5.37,4.77
1,2011,중랑구,5.79,4.54,5.43,5.39
1,2011,성북구,5.57,5.4,5.24,4.87
1,2011,강북구,6.08,4.45,5.39,4.52
1,2011,도봉구,5.92,5.11,4.73,5.28
1,2011,노원구,6.28,5.04,5.9,5.29
1,2011,은평구,6.26,5.39,5.92,5.55
1,2011,서대문구,5.62,5.3,5.53,5.37
1,2011,마포구,5.79,4.73,5.26,4.94
1,2011,양천구,6.36,5.61,6.01,5.58
1,2011,강서구,5.95,4.59,5.09,4.8
1,2011,구로구,5.97,5.63,4.91,4.96
1,2011,금천구,6.03,4.68,5.28,4.65
1,2011,영등포구,6.06,4.87,6.02,5.15
1,2011,동작구,6.42,5.31,5.45,5.31
1,2011,관악구,6,5.2,5.81,5.6
1,2011,서초구,6.63,5.63,7.05,5.58
1,2011,강남구,7.1,5.86,5.62,5.75
1,2011,송파구,6.07,5.69,5.02,5.72
1,2011,강동구,6.49,5.81,5.89,5.63
1,2012,종로구,5.74,5.22,5.47,5
1,2012,중구,6.2,5.89,5.13,5.49
1,2012,용산구,6.22,5.1,5.81,5.37
1,2012,성동구,5.07,4.44,4.6,4.07
1,2012,광진구,6.46,4.92,5.47,5.24
1,2012,동대문구,6.12,5.33,4.99,5.64
1,2012,중랑구,5.91,5.2,5.27,5.03
1,2012,성북구,5.88,5.23,5.43,5.21
1,2012,강북구,6.36,5.78,6.04,5.89
1,2012,도봉구,6.51,5.79,6.06,5.8
1,2012,노원구,6.26,5.37,5.98,5.57
1,2012,은평구,6.31,5.49,5.69,5.54
1,2012,서대문구,6.66,5.86,6.22,5.53
1,2012,마포구,5.9,5.29,5.55,5.49
1,2012,양천구,6.4,5.39,6,6.05
1,2012,강서구,6.22,5.54,5.6,5.46
1,2012,구로구,6.3,5.65,6.03,5.55
1,2012,금천구,6.1,5.74,6.17,5.48
1,2012,영등포구,6.37,5.88,6.37,5.53
1,2012,동작구,6.8,5.58,6.01,5.74
1,2012,관악구,6.37,5.62,5.65,5.62
1,2012,서초구,6.78,5.9,6.4,6.12
1,2012,강남구,6.25,6.04,6.24,6.1
1,2012,송파구,6.23,5.55,6.18,5.67
1,2012,강동구,6.34,4.96,5.37,5.22
1,2013,종로구,6.05,5.46,5.42,5.24
1,2013,중구,6.55,5.78,6.15,6.08
1,2013,용산구,6.1,5.28,5.64,5.51
1,2013,성동구,6.17,5.32,5.67,5.08
1,2013,광진구,6.45,5.68,5.93,5.83
1,2013,동대문구,5.7,5.15,5.21,4.99
1,2013,중랑구,6.25,5.32,5.41,5.37
1,2013,성북구,7.08,5.52,6.67,6.26
1,2013,강북구,6.73,5.5,5.98,5.8
1,2013,도봉구,6.25,5.25,6.63,6.04
1,2013,노원구,5.97,5.34,5.88,5.48
1,2013,은평구,6.65,5.84,6.36,6.25
1,2013,서대문구,5.9,5.2,5.81,5.31
1,2013,마포구,6.23,5.74,6.01,5.38
1,2013,양천구,6.21,5.57,5.91,5.93
1,2013,강서구,6.19,5.52,5.63,5.74
1,2013,구로구,6.16,5.59,6.17,4.78
1,2013,금천구,6.09,5.03,5.59,5.54
1,2013,영등포구,6.68,6.01,6.39,5.77
1,2013,동작구,6.92,5.87,6.43,6.15
1,2013,관악구,6.77,5.81,6.73,6.22
1,2013,서초구,7.01,5.94,7.02,6.8
1,2013,강남구,6.74,5.6,6.45,6.17
1,2013,송파구,6.65,5.97,6.42,6.31
1,2013,강동구,6.49,5.51,6.23,6.11
1,2014,종로구,6.77,5.84,6.35,6.17
1,2014,중구,5.57,4.89,5.17,4.72
1,2014,용산구,5.47,5.21,5.4,4.99
1,2014,성동구,6.03,5.09,5.69,5.25
1,2014,광진구,6.19,5.44,5.74,5.48
1,2014,동대문구,5.23,4.63,5.3,4.86
1,2014,중랑구,6.08,5.56,5.59,5.43
1,2014,성북구,6.43,5.57,5.55,5.63
1,2014,강북구,5.78,4.84,5.28,4.75
1,2014,도봉구,6.17,5.13,5.5,4.98
1,2014,노원구,6.26,5.1,5.65,5.24
1,2014,은평구,6.12,5.24,5.48,5.21
1,2014,서대문구,6.18,5.39,5.48,5.33
1,2014,마포구,6.15,5.17,5.8,5.51
1,2014,양천구,6.41,5.88,5.94,6.02
1,2014,강서구,6.13,5.16,5.42,5.21
1,2014,구로구,6.32,4.98,5.79,5.29
1,2014,금천구,5.83,4.66,4.67,4.25
1,2014,영등포구,5.7,4.73,5.55,5.01
1,2014,동작구,6.37,5.3,5.94,5.65
1,2014,관악구,6.08,5.05,5.38,5.15
1,2014,서초구,6.85,5.58,6.55,6.47
1,2014,강남구,6.35,5.76,6.39,6.52
1,2014,송파구,5.96,5.28,5.98,5.48
1,2014,강동구,6.25,5.66,5.99,5.64
1,2015,종로구,6.48,5.1,6.02,5.55
1,2015,중구,5.96,5.44,5.66,5.33
1,2015,용산구,5.5,4.99,5.53,4.93
1,2015,성동구,6,5.09,5.46,5.23
1,2015,광진구,6.28,5.48,5.78,5.56
1,2015,동대문구,5.54,4.91,5.42,4.91
1,2015,중랑구,6.24,5.42,5.62,5.3
1,2015,성북구,6.29,5.37,5.54,5.38
1,2015,강북구,6.16,5.31,5.38,5.35
1,2015,도봉구,6.41,5.44,5.84,5.52
1,2015,노원구,5.99,5.09,5.55,4.99
1,2015,은평구,6.32,5.46,5.71,5.51
1,2015,서대문구,5.93,5.27,5.54,5.31
1,2015,마포구,6.26,5.32,5.53,5.39
1,2015,양천구,6.27,5.38,5.82,5.64
1,2015,강서구,6.31,5.2,5.62,5.45
1,2015,구로구,6.19,5.22,5.59,5.26
1,2015,금천구,6.33,5.12,5.44,5.13
1,2015,영등포구,6.26,5.13,5.64,5.25
1,2015,동작구,6.1,5.14,5.67,5.31
1,2015,관악구,6.19,5.26,5.83,5.78
1,2015,서초구,6.32,5.43,5.95,5.69
1,2015,강남구,6.23,5.51,6.11,6.13
1,2015,송파구,6.03,5.48,6.09,5.56
1,2015,강동구,6.06,5.46,5.89,5.51
1,2016,종로구,6.11,5.55,5.96,5.38
1,2016,중구,6.43,5.52,6.23,5.78
1,2016,용산구,5.98,5.49,5.95,5.75
1,2016,성동구,6.09,5.47,5.78,5.65
1,2016,광진구,6.01,5.42,5.8,5.57
1,2016,동대문구,6.13,5.29,5.94,5.51
1,2016,중랑구,5.77,5.17,5.47,4.94
1,2016,성북구,6.05,5.46,5.6,5.4
1,2016,강북구,5.94,5.03,5.39,5.17
1,2016,도봉구,6.25,5.46,5.72,5.36
1,2016,노원구,6.14,5.24,5.63,5.28
1,2016,은평구,6.41,5.42,5.8,5.55
1,2016,서대문구,6.06,5.3,5.57,5.29
1,2016,마포구,5.93,5.34,5.32,5.37
1,2016,양천구,6.02,5.23,5.49,5.23
1,2016,강서구,6.13,5.08,5.61,5.48
1,2016,구로구,6.36,5.2,5.69,5.52
1,2016,금천구,6.24,5.34,5.67,5.37
1,2016,영등포구,6.11,5.15,5.34,5.27
1,2016,동작구,6.25,5.3,5.75,5.41
1,2016,관악구,6.2,5.27,5.74,5.38
1,2016,서초구,6.5,5.3,5.66,5.44
1,2016,강남구,6.33,5.3,5.91,5.51
1,2016,송파구,6.26,5.39,6.1,5.78
1,2016,강동구,6.33,5.41,5.95,5.67
1,2017,종로구,5.97,5.47,5.79,5.35
1,2017,중구,6.07,4.92,5.66,5.24
1,2017,용산구,5.86,5.39,5.57,5.06
1,2017,성동구,6.02,5.18,5.74,5.3
1,2017,광진구,6.11,5.08,5.66,5.54
1,2017,동대문구,5.97,4.96,5.4,5
1,2017,중랑구,6.04,5.36,5.66,5.21
1,2017,성북구,5.9,5.02,5.51,5.1
1,2017,강북구,6.18,5.37,5.78,5.37
1,2017,도봉구,6.34,5.31,5.72,5.35
1,2017,노원구,6.27,5.16,5.84,5.72
1,2017,은평구,6.25,5.16,5.66,5.19
1,2017,서대문구,6.09,5.46,5.9,5.55
1,2017,마포구,5.96,5.63,5.76,5.57
1,2017,양천구,5.94,5,5.27,4.95
1,2017,강서구,6.2,5.25,5.41,5.42
1,2017,구로구,6.19,5.41,5.77,5.11
1,2017,금천구,5.97,5.22,5.28,4.98
1,2017,영등포구,6.4,5.47,5.88,5.36
1,2017,동작구,6.3,5.46,5.88,5.82
1,2017,관악구,6.45,5.6,6.03,5.66
1,2017,서초구,6.38,5.7,6.05,5.92
1,2017,강남구,6.57,5.56,6.22,6.1
1,2017,송파구,6.23,5.68,5.95,5.87
1,2017,강동구,6.25,5.42,5.88,5.37
1,2018,종로구,5.83,5.15,5.21,5.21
1,2018,중구,5.94,5.42,5.4,5.37
1,2018,용산구,6.53,5.41,6.02,5.65
1,2018,성동구,6.02,5.18,5.65,5.49
1,2018,광진구,6.13,5.64,5.68,5.73
1,2018,동대문구,6,5.13,5.53,5.23
1,2018,중랑구,5.98,5.29,5.52,5.3
1,2018,성북구,6.04,5.15,5.48,5.32
1,2018,강북구,6.19,5.33,5.54,5.43
1,2018,도봉구,6.32,5.6,5.56,5.39
1,2018,노원구,6.05,5.14,5.87,5.51
1,2018,은평구,6.28,5.63,5.97,5.55
1,2018,서대문구,6.02,5.27,5.46,5.33
1,2018,마포구,6.43,5.37,6.05,5.64
1,2018,양천구,6.03,5.67,5.57,5.61
1,2018,강서구,6.34,5.65,5.96,5.86
1,2018,구로구,6.39,5.39,5.7,5.43
1,2018,금천구,6.14,5.44,5.41,5.24
1,2018,영등포구,6.15,5.84,5.98,5.89
1,2018,동작구,6.34,5.68,5.72,5.69
1,2018,관악구,6.18,5.48,5.7,5.51
1,2018,서초구,6.52,5.42,6.44,6.02
1,2018,강남구,6.53,5.54,6.35,5.85
1,2018,송파구,6.63,5.5,6.31,5.68
1,2018,강동구,6.37,5.13,5.76,5.51
1,2019,종로구,6.43,5.68,5.99,5.98
1,2019,중구,6.39,5.22,5.89,5.53
1,2019,용산구,6.16,5.67,6.11,6.09
1,2019,성동구,6.47,5.42,5.92,5.84
1,2019,광진구,6.68,5.78,6.38,5.97
1,2019,동대문구,6.43,5.8,6.04,5.39
1,2019,중랑구,6.39,5.6,6.21,5.96
1,2019,성북구,5.99,5.1,5.6,5.31
1,2019,강북구,6.2,5.02,5.67,5.41
1,2019,도봉구,6.45,5.52,5.87,5.75
1,2019,노원구,6.07,5.3,5.98,5.48
1,2019,은평구,6.19,5.25,5.9,5.55
1,2019,서대문구,6.38,5.29,6.19,5.78
1,2019,마포구,6.69,5.76,6.19,6
1,2019,양천구,6.44,5.71,5.69,5.64
1,2019,강서구,6.11,5.29,6.12,5.65
1,2019,구로구,6.63,5.63,6.12,5.84
1,2019,금천구,6.08,5.32,5.59,5.32
1,2019,영등포구,6.34,5.74,5.87,5.75
1,2019,동작구,6.54,5.18,6.05,5.7
1,2019,관악구,6.71,5.72,5.88,5.68
1,2019,서초구,6.65,5.69,5.91,5.76
1,2019,강남구,6.4,5.48,6.15,5.96
1,2019,송파구,6.67,5.84,6.38,6.03
1,2019,강동구,6.09,5.39,5.91,5.47
1,2020,종로구,6.1,5.19,5.76,5.67
1,2020,중구,6.43,5.52,6.01,5.51
1,2020,용산구,6.41,5.34,5.94,5.77
1,2020,성동구,6.3,5.09,5.95,5.63
1,2020,광진구,6.03,5.09,5.94,5.7
1,2020,동대문구,6.1,5.16,5.86,5.55
1,2020,중랑구,6.52,5.53,5.91,5.52
1,2020,성북구,6.45,5.23,6.06,5.6
1,2020,강북구,6.22,5.25,5.88,5.52
1,2020,도봉구,6.31,5.37,5.89,5.55
1,2020,노원구,6.41,5.35,6,5.64
1,2020,은평구,6.37,5.57,5.93,5.49
1,2020,서대문구,6.21,5.56,5.94,5.7
1,2020,마포구,6.44,5.47,6,5.58
1,2020,양천구,6.29,5.47,5.91,5.72
1,2020,강서구,6.37,5.13,6.11,5.64
1,2020,구로구,6.59,5.54,5.93,5.72
1,2020,금천구,6.32,5.15,5.83,5.67
1,2020,영등포구,6.38,5.5,6.14,5.98
1,2020,동작구,6.27,5.25,5.95,5.7
1,2020,관악구,6.16,5.24,5.81,5.63
1,2020,서초구,6.59,5.24,6.06,5.88
1,2020,강남구,6.44,5.38,6.27,5.84
1,2020,송파구,6.48,5.39,6.07,5.87
1,2020,강동구,6.57,5.74,6.23,5.97
