,기간,자치구,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터
0,2011,합계,2,31,433,1,22,114
1,2011,종로구,1,2,23,-,1,6
2,2011,중구,-,2,17,1,1,5
3,2011,용산구,-,1,12,-,1,5
4,2011,성동구,-,1,15,-,-,3
5,2011,광진구,-,1,13,-,1,4
6,2011,동대문구,-,1,22,-,1,5
7,2011,중랑구,-,1,16,-,1,4
8,2011,성북구,-,2,25,-,1,4
9,2011,강북구,-,1,15,-,-,3
10,2011,도봉구,-,1,11,-,1,3
11,2011,노원구,-,1,19,-,1,5
12,2011,은평구,-,2,19,-,1,4
13,2011,서대문구,1,1,12,-,1,4
14,2011,마포구,-,1,18,-,1,6
15,2011,양천구,-,1,17,-,1,5
16,2011,강서구,-,1,15,-,1,5
17,2011,구로구,-,1,18,-,1,6
18,2011,금천구,-,-,11,-,-,2
19,2011,영등포구,-,1,17,-,1,5
20,2011,동작구,-,1,16,-,1,4
21,2011,관악구,-,2,22,-,1,4
22,2011,서초구,-,2,18,-,1,6
23,2011,강남구,-,2,23,-,1,5
24,2011,송파구,-,1,21,-,1,6
25,2011,강동구,-,1,18,-,1,5
26,2012,합계,2,31,433,1,23,115
27,2012,종로구,1,2,23,-,1,6
28,2012,중구,-,2,17,1,1,5
29,2012,용산구,-,1,12,-,1,5
30,2012,성동구,-,1,15,-,-,4
31,2012,광진구,-,1,12,-,1,3
32,2012,동대문구,-,1,22,-,1,5
33,2012,중랑구,-,1,17,-,1,4
34,2012,성북구,-,2,25,-,1,4
35,2012,강북구,-,1,15,-,1,4
36,2012,도봉구,-,1,11,-,1,3
37,2012,노원구,-,1,19,-,1,5
38,2012,은평구,-,2,19,-,1,4
39,2012,서대문구,1,1,12,-,1,4
40,2012,마포구,-,1,18,-,1,6
41,2012,양천구,-,1,17,-,1,5
42,2012,강서구,-,1,15,-,1,5
43,2012,구로구,-,1,18,-,1,6
44,2012,금천구,-,-,11,-,-,2
45,2012,영등포구,-,1,17,-,1,5
46,2012,동작구,-,1,16,-,1,4
47,2012,관악구,-,2,22,-,1,4
48,2012,서초구,-,2,18,-,1,6
49,2012,강남구,-,2,23,-,1,5
50,2012,송파구,-,1,21,-,1,6
51,2012,강동구,-,1,18,-,1,5
52,2013,합계,2,31,429,1,23,115
53,2013,종로구,1,2,23,-,1,6
54,2013,중구,-,2,17,1,1,5
55,2013,용산구,-,1,12,-,1,5
56,2013,성동구,-,1,15,-,-,4
57,2013,광진구,-,1,10,-,1,3
58,2013,동대문구,-,1,22,-,1,5
59,2013,중랑구,-,1,18,-,1,4
60,2013,성북구,-,2,24,-,1,4
61,2013,강북구,-,1,15,-,1,4
62,2013,도봉구,-,1,11,-,1,3
63,2013,노원구,-,1,19,-,1,5
64,2013,은평구,-,2,19,-,1,4
65,2013,서대문구,1,1,11,-,1,4
66,2013,마포구,-,1,18,-,1,6
67,2013,양천구,-,1,18,-,1,5
68,2013,강서구,-,1,14,-,1,5
69,2013,구로구,-,1,18,-,1,6
70,2013,금천구,-,-,11,-,-,2
71,2013,영등포구,-,1,17,-,1,5
72,2013,동작구,-,1,16,-,1,4
73,2013,관악구,-,2,21,-,1,4
74,2013,서초구,-,2,18,-,1,6
75,2013,강남구,-,2,23,-,1,5
76,2013,송파구,-,1,21,-,1,6
77,2013,강동구,-,1,18,-,1,5
78,2014,합계,2,31,428,1,23,115
79,2014,종로구,1,2,23,-,1,6
80,2014,중구,-,2,18,1,1,5
81,2014,용산구,-,1,12,-,1,5
82,2014,성동구,-,1,15,-,-,4
83,2014,광진구,-,1,10,-,1,3
84,2014,동대문구,-,1,22,-,1,5
85,2014,중랑구,-,1,18,-,1,4
86,2014,성북구,-,2,24,-,1,4
87,2014,강북구,-,1,15,-,1,4
88,2014,도봉구,-,1,10,-,1,3
89,2014,노원구,-,1,19,-,1,5
90,2014,은평구,-,2,20,-,1,4
91,2014,서대문구,1,1,11,-,1,4
92,2014,마포구,-,1,16,-,1,6
93,2014,양천구,-,1,18,-,1,5
94,2014,강서구,-,1,14,-,1,5
95,2014,구로구,-,1,18,-,1,6
96,2014,금천구,-,-,11,-,-,2
97,2014,영등포구,-,1,17,-,1,5
98,2014,동작구,-,1,16,-,1,4
99,2014,관악구,-,2,21,-,1,4
100,2014,서초구,-,2,18,-,1,6
101,2014,강남구,-,2,23,-,1,5
102,2014,송파구,-,1,21,-,1,6
103,2014,강동구,-,1,18,-,1,5
104,2015,합계,2,31,428,1,23,116
105,2015,종로구,1,2,23,-,1,6
106,2015,중구,-,2,18,1,1,5
107,2015,용산구,-,1,12,-,1,5
108,2015,성동구,-,1,15,-,-,4
109,2015,광진구,-,1,10,-,1,3
110,2015,동대문구,-,1,22,-,1,5
111,2015,중랑구,-,1,18,-,1,4
112,2015,성북구,-,2,24,-,1,4
113,2015,강북구,-,1,15,-,1,4
114,2015,도봉구,-,1,10,-,1,4
115,2015,노원구,-,1,19,-,1,5
116,2015,은평구,-,2,20,-,1,4
117,2015,서대문구,1,1,11,-,1,4
118,2015,마포구,-,1,18,-,1,6
119,2015,양천구,-,1,18,-,1,5
120,2015,강서구,-,1,13,-,1,5
121,2015,구로구,-,1,18,-,1,6
122,2015,금천구,-,1,12,-,-,2
123,2015,영등포구,-,1,16,-,1,5
124,2015,동작구,-,1,16,-,1,4
125,2015,관악구,-,1,20,-,1,4
126,2015,서초구,-,2,19,-,1,6
127,2015,강남구,-,2,23,-,1,5
128,2015,송파구,-,1,21,-,1,6
129,2015,강동구,-,1,17,-,1,5
130,2016,합계,2,31,427,1,23,116
131,2016,종로구,1,2,23,-,1,6
132,2016,중구,-,2,19,1,1,5
133,2016,용산구,-,1,12,-,1,5
134,2016,성동구,-,1,15,-,-,4
135,2016,광진구,-,1,10,-,1,3
136,2016,동대문구,-,1,21,-,1,5
137,2016,중랑구,-,1,18,-,1,4
138,2016,성북구,-,2,24,-,1,4
139,2016,강북구,-,1,15,-,1,4
140,2016,도봉구,-,1,10,-,1,4
141,2016,노원구,-,1,19,-,1,5
142,2016,은평구,-,2,20,-,1,4
143,2016,서대문구,1,1,11,-,1,4
144,2016,마포구,-,1,17,-,1,6
145,2016,양천구,-,1,17,-,1,5
146,2016,강서구,-,1,13,-,1,5
147,2016,구로구,-,1,19,-,1,6
148,2016,금천구,-,1,12,-,-,2
149,2016,영등포구,-,1,15,-,1,5
150,2016,동작구,-,1,16,-,1,4
151,2016,관악구,-,1,20,-,1,4
152,2016,서초구,-,2,19,-,1,6
153,2016,강남구,-,2,24,-,1,5
154,2016,송파구,-,1,21,-,1,6
155,2016,강동구,-,1,17,-,1,5
156,2017,합계,2,31,425,1,24,116
157,2017,종로구,1,2,23,-,1,6
158,2017,중구,-,2,18,1,1,5
159,2017,용산구,-,1,12,-,1,5
160,2017,성동구,-,1,15,-,1,4
161,2017,광진구,-,1,11,-,1,3
162,2017,동대문구,-,1,21,-,1,5
163,2017,중랑구,-,1,18,-,1,4
164,2017,성북구,-,2,24,-,1,4
165,2017,강북구,-,1,15,-,1,4
166,2017,도봉구,-,1,10,-,1,4
167,2017,노원구,-,1,19,-,1,5
168,2017,은평구,-,2,20,-,1,4
169,2017,서대문구,1,1,11,-,1,4
170,2017,마포구,-,1,17,-,1,6
171,2017,양천구,-,1,17,-,1,5
172,2017,강서구,-,1,12,-,1,5
173,2017,구로구,-,1,17,-,1,6
174,2017,금천구,-,1,12,-,-,2
175,2017,영등포구,-,1,15,-,1,5
176,2017,동작구,-,1,17,-,1,4
177,2017,관악구,-,1,20,-,1,4
178,2017,서초구,-,2,19,-,1,6
179,2017,강남구,-,2,24,-,1,5
180,2017,송파구,-,1,21,-,1,6
181,2017,강동구,-,1,17,-,1,5
182,2018,합계,2,31,414,1,24,117
183,2018,종로구,1,2,23,-,1,6
184,2018,중구,-,2,18,1,1,5
185,2018,용산구,-,1,12,-,1,5
186,2018,성동구,-,1,15,-,1,4
187,2018,광진구,-,1,12,-,1,3
188,2018,동대문구,-,1,20,-,1,5
189,2018,중랑구,-,1,17,-,1,4
190,2018,성북구,-,2,24,-,1,4
191,2018,강북구,-,1,14,-,1,4
192,2018,도봉구,-,1,9,-,1,4
193,2018,노원구,-,1,18,-,1,5
194,2018,은평구,-,2,20,-,1,4
195,2018,서대문구,1,1,11,-,1,4
196,2018,마포구,-,1,17,-,1,6
197,2018,양천구,-,1,15,-,1,5
198,2018,강서구,-,1,12,-,1,5
199,2018,구로구,-,1,16,-,1,6
200,2018,금천구,-,1,12,-,-,2
201,2018,영등포구,-,1,15,-,1,5
202,2018,동작구,-,1,17,-,1,4
203,2018,관악구,-,1,19,-,1,4
204,2018,서초구,-,2,19,-,1,6
205,2018,강남구,-,2,23,-,1,6
206,2018,송파구,-,1,20,-,1,6
207,2018,강동구,-,1,16,-,1,5
208,2019,합계,2,31,410,1,24,118
209,2019,종로구,1,2,23,-,1,6
210,2019,중구,-,2,18,1,1,5
211,2019,용산구,-,1,12,-,1,5
212,2019,성동구,-,1,15,-,1,4
213,2019,광진구,-,1,12,-,1,3
214,2019,동대문구,-,1,20,-,1,5
215,2019,중랑구,-,1,17,-,1,4
216,2019,성북구,-,2,24,-,1,4
217,2019,강북구,-,1,14,-,1,4
218,2019,도봉구,-,1,9,-,1,4
219,2019,노원구,-,1,17,-,1,5
220,2019,은평구,-,2,20,-,1,4
221,2019,서대문구,1,1,11,-,1,4
222,2019,마포구,-,1,15,-,1,6
223,2019,양천구,-,1,16,-,1,5
224,2019,강서구,-,1,12,-,1,6
225,2019,구로구,-,1,16,-,1,6
226,2019,금천구,-,1,12,-,-,2
227,2019,영등포구,-,1,15,-,1,5
228,2019,동작구,-,1,17,-,1,4
229,2019,관악구,-,1,19,-,1,4
230,2019,서초구,-,2,19,-,1,6
231,2019,강남구,-,2,21,-,1,6
232,2019,송파구,-,1,20,-,1,6
233,2019,강동구,-,1,16,-,1,5
