지역,학교코드,학교명,설립구분,학교특성,설립유형,개교기념일,법정동코드,위도,경도,"남녀공학 
 구분",학급당 학생수,수업 교원 1인당 학생수,학급수,학생수,학생수_남,학생수_여,교사수,교사1인당_주당평균수업시수
강남구,S000003540,국립국악고등학교,국립,특수목적고등학교,단설,19720909,1168010300,37.4762299,127.0514757,남녀공학,29.5,10.8,15,442,68,374,41,16.1
성북구,S000003561,서울대학교사범대학부설고등학교,국립,일반고등학교,부설,19461015,1129013500,37.59472375,127.0381187,남녀공학,28.3,12.3,27,763,371,392,62,15
금천구,S000005401,국립전통예술고등학교,국립,특수목적고등학교,단설,19600513,1154510300,37.446354,126.906414,남녀공학,29.2,4.3,18,525,129,396,122,8.4
송파구,S010000370,가락고등학교,공립,일반고등학교,단설,19890428,1171010400,37.501637,127.116943,남녀공학,25.2,12.8,33,832,370,462,65,17.1
강동구,S010000371,강동고등학교,사립,일반고등학교,단설,19850908,1174010300,37.54989,127.160702,남녀공학,25.6,13.1,24,614,341,273,47,17.5
양천구,S010000372,강서고등학교,사립,일반고등학교,단설,19831101,1147010200,37.5367773,126.8663295,남,27,14.7,36,971,971,0,66,18.8
강남구,S010000373,개포고등학교,공립,일반고등학교,단설,19870512,1168010300,37.48495876,127.0594054,남녀공학,21.4,10.9,30,643,298,345,59,17.1
광진구,S010000374,건국대학교사범대학부속고등학교,사립,일반고등학교,부속,19800515,1121510700,37.5401481,127.0782556,남녀공학,29.8,14.7,36,1074,643,431,73,16.8
강남구,S010000375,경기고등학교,공립,일반고등학교,단설,19001003,1168010500,37.51756598,127.0560739,남,27,13.5,45,1214,1214,0,90,16.9
강남구,S010000376,경기여자고등학교,공립,일반고등학교,단설,19080401,1168010300,37.48688726,127.0655669,녀,26.5,13.6,43,1141,0,1141,84,16.4
성북구,S010000377,경동고등학교,공립,자율고등학교,단설,19400416,1129011300,37.5862,127.014664,남,19.8,9.5,26,515,515,0,54,15.5
동작구,S010000378,경문고등학교,사립,일반고등학교,단설,19800507,1159010600,37.49309576,126.9816993,남,24.5,12.8,24,588,588,0,46,17.3
종로구,S010000379,경복고등학교,공립,일반고등학교,단설,19210502,1111010100,37.587418,126.971434,남,23.2,11,36,834,834,0,76,15.4
강서구,S010000380,경복여자고등학교,사립,일반고등학교,단설,19931002,1150010200,37.55782075,126.8505974,녀,29.9,15.6,24,718,0,718,46,17.4
마포구,S010000381,경성고등학교,사립,일반고등학교,병설,19671023,1144012400,37.563341,126.918767,남,28.7,14.3,24,688,688,0,48,15.2
종로구,S010000382,경신고등학교,사립,일반고등학교,단설,18851016,1111016900,37.592173,127.000227,남,23.9,11.7,27,645,645,0,55,16.7
구로구,S010000383,경인고등학교,공립,일반고등학교,단설,20020516,1153010600,37.49599386,126.8654306,남녀공학,28,15.1,42,1174,613,561,78,16.4
동대문구,S010000384,경희고등학교,사립,자율고등학교,병설,19600518,1123010800,37.594912,127.054904,남,31.3,15.3,24,752,752,0,49,14.9
동대문구,S010000385,경희여자고등학교,사립,일반고등학교,병설,19600415,1123010800,37.594927,127.051115,녀,21.7,9.8,23,500,0,500,51,16.2
성북구,S010000386,계성고등학교,사립,일반고등학교,단설,19440908,1129013400,37.60771,127.02031,남녀공학,27.9,14.2,33,921,351,570,65,16.3
성북구,S010000387,고려대학교사범대학부속고등학교,사립,일반고등학교,부속,19680311,1129013300,37.609816,127.001571,남,28.7,14.3,27,774,774,0,54,16.1
구로구,S010000388,고척고등학교,공립,자율고등학교,단설,19841217,1153010600,37.50804857,126.8498688,남녀공학,27.2,13.8,30,815,447,368,59,16
강서구,S010000389,공항고등학교,공립,일반고등학교,단설,19830412,1150010500,37.570122,126.81842,남녀공학,21.3,10.5,25,533,266,267,51,15.9
영등포구,S010000390,관악고등학교,공립,일반고등학교,단설,19730427,1156012600,37.52179202,126.8829228,남녀공학,23.1,13.1,30,692,384,308,53,16.3
광진구,S010000391,광남고등학교,공립,일반고등학교,단설,19860513,1121510400,37.54151337,127.1012125,남녀공학,26.3,12.9,43,1132,615,517,88,16.7
강동구,S010000392,광문고등학교,사립,일반고등학교,단설,19851105,1174010200,37.56046136,127.1585483,남녀공학,27.4,14.1,39,1068,639,429,76,17.2
마포구,S010000393,광성고등학교,사립,일반고등학교,단설,18940406,1144011100,37.5487585,126.9342021,남,26.7,13.3,27,720,720,0,54,17.8
관악구,S010000394,광신고등학교,사립,일반고등학교,단설,19870102,1162010200,37.46447593,126.9259388,남녀공학,21.9,11.4,27,592,250,342,52,17
광진구,S010000395,광양고등학교,공립,자율고등학교,단설,19880420,1121510500,37.529721,127.085285,남녀공학,20,9.8,27,540,280,260,55,15.7
양천구,S010000396,광영고등학교,사립,일반고등학교,단설,19850201,1147010300,37.53719702,126.8232754,남,22,11.4,39,858,858,0,75,18.2
양천구,S010000397,광영여자고등학교,사립,일반고등학교,단설,19850306,1147010300,37.53774,126.82489,녀,25.4,13.6,39,992,0,992,73,17.7
구로구,S010000398,구로고등학교,공립,일반고등학교,단설,19820424,1153010200,37.49884153,126.8903093,남녀공학,26.8,13.4,33,884,461,423,66,16.3
구로구,S010000399,구일고등학교,공립,일반고등학교,단설,19900120,1153010200,37.49441003,126.8739422,남녀공학,26.5,13.5,30,796,377,419,59,15.9
강남구,S010000400,압구정고등학교,공립,일반고등학교,단설,19870506,1168011000,37.530973,127.032648,남녀공학,21,12.1,30,629,238,391,52,16.5
양천구,S010000401,금옥여자고등학교,공립,일반고등학교,단설,19810503,1147010100,37.510928,126.844582,녀,22.9,12,31,710,0,710,59,15.5
금천구,S010000402,금천고등학교,공립,자율고등학교,단설,19850506,1154510300,37.445022,126.905691,남녀공학,22.7,11.9,33,748,378,370,63,15.7
관악구,S010000403,남강고등학교,사립,일반고등학교,단설,19730302,1162010200,37.472357,126.924738,남,23.3,12,32,744,744,0,62,16.8
노원구,S010000404,노원고등학교,공립,일반고등학교,단설,19890427,1135010500,37.6628057,127.0532928,남녀공학,21.8,11.3,27,588,329,259,52,16
강남구,S010000405,단국대학교사범대학부속고등학교,사립,일반고등학교,부속,19831226,1168010600,37.495834,127.056676,남,28.3,14.5,39,1103,1103,0,76,18
관악구,S010000406,당곡고등학교,공립,자율고등학교,단설,19840501,1162010100,37.491688,126.934635,남녀공학,26.7,13.1,29,774,320,454,59,15.1
동대문구,S010000407,대광고등학교,사립,자율고등학교,단설,19471025,1123010100,37.577939,127.024586,남,33,14.7,29,957,957,0,65,16
은평구,S010000408,대성고등학교,사립,일반고등학교,단설,19691016,1138010400,37.62316997,126.9093611,남,29.2,15.4,30,875,875,0,57,17.4
종로구,S010000409,대신고등학교,사립,일반고등학교,단설,19380405,1111018100,37.5735255,126.9618728,남,24.9,12.5,27,673,673,0,54,15.9
영등포구,S010000410,대영고등학교,공립,자율고등학교,단설,19871215,1156013200,37.5031524,126.9037896,남녀공학,25.8,12.4,27,697,410,287,56,16.4
광진구,S010000411,대원고등학교,사립,일반고등학교,단설,19770520,1121510100,37.563177,127.089494,남,27.1,13.8,30,814,814,0,59,17.5
광진구,S010000412,대원여자고등학교,사립,일반고등학교,단설,19830520,1121510100,37.5624945,127.089438,녀,25.3,12.7,28,709,0,709,56,16.3
강서구,S010000413,대일고등학교,사립,일반고등학교,단설,19720926,1150010200,37.539175,126.862546,남,26.5,13.8,42,1115,1115,0,81,16.9
노원구,S010000414,대진고등학교,사립,일반고등학교,단설,19851024,1135010400,37.63780505,127.076091,남,28.2,14.5,39,1099,1099,0,76,16.9
노원구,S010000415,대진여자고등학교,사립,일반고등학교,단설,19880212,1135010600,37.64612473,127.0671978,녀,26.9,13.8,39,1049,0,1049,76,17.5
강남구,S010000416,대진디자인고등학교,사립,특성화고등학교,단설,19950302,1168011500,37.49042725,127.0959782,남녀공학,24.5,10.3,27,662,332,330,64,16.7
종로구,S010000417,덕성여자고등학교,사립,일반고등학교,단설,19451010,1111014100,37.57776127,126.9835578,녀,25.6,11.7,27,690,0,690,59,16.7
강서구,S010000418,덕원여자고등학교,사립,일반고등학교,단설,19780429,1150010600,37.54862294,126.8290243,녀,28.3,14.5,42,1187,0,1187,82,18.2
금천구,S010000419,독산고등학교,공립,일반고등학교,단설,20020504,1154510200,37.47621836,126.9109408,남녀공학,22.3,12.1,27,603,313,290,50,16
동대문구,S010000420,동국대학교사범대학부속고등학교,사립,일반고등학교,부속,19470624,1123010600,37.577479,127.074495,남,28.8,14.4,33,949,949,0,66,17.5
서초구,S010000421,동덕여자고등학교,사립,일반고등학교,단설,19100428,1165010100,37.47587683,126.9919958,녀,25.5,13.3,39,996,0,996,75,17.4
은평구,S010000422,동명여자고등학교,사립,일반고등학교,단설,19210603,1138010600,37.61447741,126.9250155,녀,28.3,15.6,39,1105,0,1105,71,17.9
강동구,S010000423,동북고등학교,사립,일반고등학교,단설,19530604,1174010600,37.51971854,127.1412227,남,26,13.3,43,1120,1120,0,84,16.7
종로구,S010000424,동성고등학교,사립,자율고등학교,단설,19381208,1111016900,37.58497032,127.0030976,남,27.6,13.2,31,857,857,0,65,14.6
금천구,S010000425,동일여자고등학교,사립,일반고등학교,단설,19680910,1154510300,37.45098,126.91627,녀,20.8,10.7,32,664,0,664,62,17.2
금천구,S010000426,동일여자상업고등학교,사립,특성화고등학교,단설,19870303,1154510300,37.451491,126.917384,녀,22.5,11.4,36,810,0,810,71,16.8
동작구,S010000427,동작고등학교,공립,일반고등학교,단설,19910430,1159010700,37.48242773,126.9652308,남녀공학,24,11.6,30,719,321,398,62,15.8
강동구,S010000428,둔촌고등학교,공립,일반고등학교,단설,19970412,1174010600,37.53143204,127.1438107,남녀공학,22.2,11.5,33,733,450,283,64,17.1
강서구,S010000429,마포고등학교,사립,일반고등학교,단설,19530601,1150010200,37.55998993,126.8531328,남,30.1,14.6,30,904,904,0,62,17.3
중랑구,S010000430,면목고등학교,공립,자율고등학교,단설,19830420,1126010100,37.584781,127.096719,남,21.1,11.5,30,632,632,0,55,16.2
강서구,S010000431,명덕고등학교,사립,일반고등학교,단설,19841015,1150010600,37.554327,126.83545,남,25.1,12.5,33,828,828,0,66,17.2
강서구,S010000432,명덕여자고등학교,사립,일반고등학교,단설,19841015,1150010600,37.553987,126.834306,녀,28.5,14.8,42,1196,0,1196,81,17.3
광진구,S010000433,동국대학교사범대학부속여자고등학교,사립,일반고등학교,부속,19300620,1121510300,37.543183,127.086964,녀,22.4,10.7,30,671,0,671,63,15.8
강동구,S010000434,명일여자고등학교,공립,일반고등학교,단설,19850508,1174010100,37.54977642,127.1495812,녀,18.1,9.3,30,542,0,542,58,16.5
서대문구,S010000435,명지고등학교,사립,일반고등학교,단설,19480412,1141011800,37.58425,126.927381,남녀공학,29.9,16.1,48,1435,565,870,89,16.9
성동구,S010000436,무학여자고등학교,공립,일반고등학교,단설,19400420,1120010700,37.55676803,127.0335995,녀,21.2,11.4,33,698,0,698,61,17.3
관악구,S010000437,서울문영여자고등학교,사립,일반고등학교,단설,19911107,1162010100,37.473416,126.951081,녀,23.8,12.1,27,642,0,642,53,16.1
금천구,S010000438,문일고등학교,사립,일반고등학교,단설,19741227,1154510300,37.449124,126.898969,남,26.2,13.3,36,942,942,0,71,17.1
관악구,S010000439,미림여자고등학교,사립,일반고등학교,단설,19790531,1162010200,37.466758,126.933272,녀,21.6,11,24,519,0,519,47,16.8
서초구,S010000440,반포고등학교,공립,일반고등학교,단설,19840426,1165010700,37.50270436,127.0165117,남녀공학,28.8,14.2,30,865,391,474,61,16.6
송파구,S010000441,배명고등학교,사립,일반고등학교,병설,19341007,1171010600,37.4988176,127.0957019,남,27.1,13.5,33,893,893,0,66,16
용산구,S010000442,배문고등학교,사립,일반고등학교,단설,19551231,1117010800,37.550311,126.964274,남,17,8.3,23,390,390,0,47,16.2
강동구,S010000443,배재고등학교,사립,자율고등학교,단설,18850608,1174010200,37.556089,127.150977,남,33.5,16.8,39,1307,1307,0,78,16.5
종로구,S010000444,배화여자고등학교,사립,일반고등학교,단설,18981002,1111011300,37.57837045,126.9669116,녀,24.8,12.9,27,670,0,670,52,17.5
양천구,S010000445,백암고등학교,사립,일반고등학교,단설,19841217,1147010100,37.511928,126.8448662,남녀공학,28.1,14.4,36,1011,499,512,70,18
송파구,S010000446,보성고등학교,사립,일반고등학교,단설,19060905,1171011100,37.5194034,127.135273,남,29.6,15.5,33,977,977,0,63,17
용산구,S010000447,보성여자고등학교,사립,일반고등학교,단설,19071010,1117010200,37.54308019,126.9842851,녀,26,13.3,21,546,0,546,41,17.2
관악구,S010000448,삼성고등학교,공립,일반고등학교,단설,19860112,1162010200,37.46913853,126.9436684,남녀공학,19.4,8.9,23,446,194,252,50,14.4
노원구,S010000449,상계고등학교,공립,일반고등학교,단설,19880428,1135010500,37.65272604,127.0554547,남,25.3,11.5,34,860,860,0,75,15.7
종로구,S010000450,상명대학교사범대학부속여자고등학교,사립,일반고등학교,부속,19670307,1111018500,37.603516,126.953837,녀,19.5,9.3,22,428,0,428,46,16.6
노원구,S010000451,상명고등학교,사립,일반고등학교,단설,19370517,1135010600,37.64954799,127.068044,남녀공학,27.2,14.2,33,896,471,425,63,16.3
서초구,S010000452,상문고등학교,사립,일반고등학교,단설,19721223,1165010100,37.47975498,127.0039164,남,28.9,15.3,42,1212,1212,0,79,16.4
강동구,S010000453,상일여자고등학교,사립,일반고등학교,단설,19791006,1174010300,37.54922,127.169635,녀,16.3,8.3,36,587,0,587,71,16
노원구,S010000454,서라벌고등학교,사립,일반고등학교,단설,19560305,1135010600,37.6452418,127.0758368,남,28.4,14.7,43,1221,1221,0,83,17.4
서초구,S010000455,서문여자고등학교,사립,일반고등학교,단설,19721229,1165010100,37.4893031,126.9833064,녀,24.8,12.7,39,966,0,966,76,16.3
서초구,S010000456,서울고등학교,공립,일반고등학교,단설,19460201,1165010800,37.48429243,127.0049025,남,30.2,15.8,45,1359,1359,0,86,18.4
관악구,S010000458,서울미술고등학교,사립,일반고등학교,단설,19720525,1162010100,37.477056,126.966983,남녀공학,39.4,19.7,15,591,74,517,30,15.2
강남구,S010000459,서울세종고등학교,사립,일반고등학교,단설,19581228,1168011500,37.490313,127.102365,남녀공학,22.1,11.5,27,596,250,346,52,17.3
마포구,S010000460,서울여자고등학교,공립,자율고등학교,단설,19580415,1144010900,37.548077,126.9481861,녀,25.5,12.7,33,841,0,841,66,16.3
송파구,S010000461,서울체육고등학교,공립,특수목적고등학교,단설,19710320,1171011100,37.5217588,127.1305913,남녀공학,34,10.7,12,408,272,136,38,14.5
서초구,S010000463,서초고등학교,공립,일반고등학교,단설,19840418,1165010800,37.48961196,127.0053778,남녀공학,27,13.3,33,892,422,470,67,15.9
성북구,S010000464,석관고등학교,공립,일반고등학교,단설,19830413,1129013900,37.60958821,127.0667165,남녀공학,26.6,13.5,27,717,314,403,53,16.5
도봉구,S010000465,선덕고등학교,사립,자율고등학교,단설,19830305,1132010500,37.65507873,127.0261507,남,34.3,17.1,34,1166,1166,0,68,17.5
은평구,S010000466,선일여자고등학교,사립,일반고등학교,단설,19711227,1138010400,37.61914,126.91287,녀,23.1,11.9,32,738,0,738,62,15.8
은평구,S010000467,선정고등학교,사립,일반고등학교,단설,19500522,1138010400,37.61870442,126.9090313,남녀공학,30,15.2,39,1171,594,577,77,15.6
동작구,S010000468,성남고등학교,사립,일반고등학교,단설,19380425,1159010800,37.506078,126.926218,남,29.2,14.8,36,1050,1050,0,71,16.8
중구,S010000469,성동고등학교,공립,자율고등학교,단설,19490824,1114016200,37.56416247,127.0223883,남,17.6,9.5,27,475,475,0,50,17.1
관악구,S010000470,성보고등학교,사립,일반고등학교,단설,19820531,1162010200,37.479815,126.919719,남,27.2,13.8,27,734,734,0,53,16.9
성북구,S010000471,성신여자고등학교,사립,일반고등학교,단설,19360428,1129010300,37.5942881,127.0224064,녀,27.2,13.8,30,815,0,815,59,18
용산구,S010000472,성심여자고등학교,사립,일반고등학교,단설,19600401,1117011800,37.5343665,126.9537281,녀,22.2,10.2,27,599,0,599,59,14.7
서초구,S010000473,세화고등학교,사립,자율고등학교,단설,19861230,1165010700,37.50195197,126.9916176,남,31.2,16.1,36,1124,1124,0,70,16.1
서초구,S010000474,세화여자고등학교,사립,자율고등학교,단설,19780303,1165010700,37.502182,126.993286,녀,30.9,15.3,36,1114,0,1114,73,16.7
중랑구,S010000475,송곡고등학교,사립,일반고등학교,단설,19861231,1126010500,37.60584697,127.1064637,남,23.5,12.2,30,706,706,0,58,16.1
중랑구,S010000476,송곡여자고등학교,사립,일반고등학교,단설,19730524,1126010500,37.6,127.1,녀,22.5,12.2,33,744,0,744,61,15.6
동작구,S010000477,수도여자고등학교,공립,일반고등학교,단설,19460610,1159010900,37.4933845,126.915414,녀,28,13.8,33,925,0,925,67,15.8
노원구,S010000478,수락고등학교,공립,자율고등학교,단설,20020426,1135010500,37.6,127,남녀공학,21.7,11.3,28,608,284,324,54,16.8
강남구,S010000479,숙명여자고등학교,사립,일반고등학교,단설,19060522,1168011800,37.49147446,127.0526124,녀,28.8,15.1,43,1239,0,1239,82,17.1
마포구,S010000480,숭문고등학교,사립,자율고등학교,단설,19460828,1144010800,37.55088946,126.9457706,남,26,14.2,24,625,625,0,44,17.1
은평구,S010000481,숭실고등학교,사립,일반고등학교,단설,18971010,1138010900,37.59287316,126.9024048,남,28.3,15.3,39,1105,1105,0,72,17.5
동작구,S010000482,숭의여자고등학교,사립,일반고등학교,단설,19031031,1159010800,37.50736234,126.9292442,녀,31,15.2,27,837,0,837,55,17.1
용산구,S010000483,신광여자고등학교,사립,일반고등학교,단설,19530608,1117011100,37.54290069,126.9694483,녀,19.4,10,16,310,0,310,31,17.8
관악구,S010000484,신림고등학교,공립,일반고등학교,단설,19870506,1162010200,37.4783835,126.9166401,남녀공학,22.5,13.2,24,541,219,322,41,16
양천구,S010000485,신목고등학교,공립,일반고등학교,단설,19870528,1147010100,37.512763,126.873615,남녀공학,27.6,14,43,1188,548,640,85,15.9
강북구,S010000486,신일고등학교,사립,자율고등학교,단설,19661013,1130510100,37.62819,127.027724,남,31.3,16.9,33,1033,1033,0,61,19.8
서초구,S010000487,양재고등학교,공립,일반고등학교,단설,19901123,1165010800,37.48242128,127.0320783,남녀공학,26.3,13.2,33,869,478,391,66,15.8
양천구,S010000488,양정고등학교,사립,자율고등학교,단설,19050512,1147010200,37.5348671,126.8869776,남,31.3,15,36,1127,1127,0,75,16.2
양천구,S010000489,양천고등학교,사립,일반고등학교,단설,19840312,1147010100,37.508667,126.845736,남,29.5,15.5,33,974,974,0,63,18.2
양천구,S010000490,목동고등학교,사립,일반고등학교,단설,19900914,1147010100,37.50921453,126.8601996,녀,24.5,12.7,45,1101,0,1101,87,16.7
서초구,S010000491,언남고등학교,공립,일반고등학교,단설,19860430,1165010200,37.47233011,127.0430034,남녀공학,18.5,10.5,33,609,316,293,58,16.6
영등포구,S010000492,여의도고등학교,공립,일반고등학교,단설,19730303,1156011000,37.52505011,126.9342187,남,23.9,12,33,790,790,0,66,15.9
영등포구,S010000493,여의도여자고등학교,공립,일반고등학교,단설,19840506,1156011000,37.52288819,126.9350894,녀,24.5,11.8,28,685,0,685,58,16.2
노원구,S010000494,염광고등학교,사립,일반고등학교,단설,19830302,1135010200,37.628422,127.049528,남녀공학,26.1,13.7,30,782,340,442,57,17.5
강남구,S010000495,영동고등학교,사립,일반고등학교,단설,19730603,1168010400,37.520183,127.043348,남,22.6,11.8,39,883,883,0,75,17.6
송파구,S010000496,영동일고등학교,사립,일반고등학교,단설,19780324,1171010100,37.5100019,127.0898685,남녀공학,28.7,14.8,36,1033,503,530,70,17.3
동작구,S010000497,영등포고등학교,공립,일반고등학교,단설,19590407,1159010800,37.508441,126.933946,남,21.6,11.2,27,582,582,0,52,16.1
영등포구,S010000498,영등포여자고등학교,공립,일반고등학교,단설,19530331,1156013200,37.51539016,126.9153554,녀,18.9,9.6,27,510,0,510,53,15.6
관악구,S010000499,영락고등학교,사립,일반고등학교,단설,19550301,1162010100,37.476283,126.944206,남녀공학,21.5,10.3,21,451,193,258,44,15.5
양천구,S010000500,서울영상고등학교,사립,특성화고등학교,단설,19611208,1147010100,37.52330273,126.8602955,남녀공학,25.4,13.4,18,457,184,273,34,16.9
영등포구,S010000501,영신고등학교,공립,일반고등학교,단설,19910501,1156013200,37.49810112,126.9097387,남녀공학,21.4,11.3,30,642,375,267,57,15.2
노원구,S010000502,영신여자고등학교,사립,일반고등학교,단설,19871215,1135010600,37.6524538,127.0832769,녀,22.6,12.2,39,880,0,880,72,16.4
강서구,S010000503,영일고등학교,사립,일반고등학교,단설,19750515,1150010200,37.54728582,126.8620613,남,27.3,13.7,36,983,983,0,72,17.4
송파구,S010000504,영파여자고등학교,사립,일반고등학교,단설,19671028,1171010300,37.5321334,127.1198218,녀,23.4,11.7,38,891,0,891,76,17.6
강북구,S010000505,영훈고등학교,사립,일반고등학교,단설,19730327,1130510100,37.613509,127.027784,남녀공학,29.8,15.3,36,1071,526,545,70,17.5
은평구,S010000506,예일여자고등학교,사립,일반고등학교,단설,19650926,1138010500,37.6108146,126.9153478,녀,27.5,14.2,36,991,0,991,70,16.6
송파구,S010000507,오금고등학교,공립,일반고등학교,단설,19880421,1171011200,37.504251,127.129331,남녀공학,29.6,15,33,976,431,545,65,16.7
구로구,S010000508,오류고등학교,사립,일반고등학교,단설,19991127,1153010900,37.500202,126.828238,녀,16.6,8.5,24,399,0,399,47,15.7
용산구,S010000509,오산고등학교,사립,일반고등학교,단설,19070515,1117013600,37.5235144,126.9996084,남,23.7,12.3,24,568,568,0,46,17.3
성북구,S010000510,용문고등학교,사립,일반고등학교,단설,19461012,1129012200,37.5879326,127.0251981,남,29,14.5,33,958,958,0,66,16.4
용산구,S010000511,용산고등학교,공립,일반고등학교,단설,19460909,1117010200,37.54586549,126.9803285,남,25.5,12.9,43,1097,1097,0,85,16.6
노원구,S010000512,용화여자고등학교,사립,일반고등학교,단설,19870422,1135010500,37.65913246,127.0582791,녀,23.5,12.5,39,916,0,916,73,17.6
구로구,S010000513,우신고등학교,사립,일반고등학교,단설,19740523,1153010900,37.495324,126.826705,남,27.3,13.2,27,738,738,0,56,16.4
강남구,S010000514,은광여자고등학교,사립,일반고등학교,단설,19461015,1168011800,37.4884898,127.0331385,녀,25.1,12.8,30,754,0,754,59,17.1
은평구,S010000515,은평메디텍고등학교,사립,특성화고등학교,단설,19910807,1138011400,37.635284,126.929185,남녀공학,20.7,8.8,23,477,310,167,54,15.2
중구,S010000516,이화여자고등학교,사립,자율고등학교,단설,18860531,1114016700,37.56569982,126.9705573,녀,34.1,16.8,36,1226,0,1226,73,16.8
서대문구,S010000517,이화여자대학교사범대학부속이화금란고등학교,사립,자율고등학교,부속,19580401,1141011300,37.56636584,126.947661,남녀공학,31.4,14.7,36,1132,428,704,77,16.1
서대문구,S010000518,인창고등학교,사립,일반고등학교,단설,19531010,1141010100,37.565414,126.963492,남,27.4,13.7,24,657,657,0,48,17.1
관악구,S010000519,인헌고등학교,공립,일반고등학교,단설,19850605,1162010100,37.47230902,126.9704855,남녀공학,22.3,10.5,24,536,265,271,51,15.7
광진구,S010000521,자양고등학교,공립,일반고등학교,단설,19840515,1121510500,37.5357534,127.0729905,남녀공학,23.2,12.3,36,834,455,379,68,16.3
송파구,S010000522,잠신고등학교,공립,일반고등학교,단설,19881223,1171010100,37.51470635,127.0882634,남녀공학,20.4,10.8,36,734,405,329,68,16.7
송파구,S010000523,잠실고등학교,공립,일반고등학교,단설,19830404,1171010200,37.51963111,127.1079429,남,21.4,11.1,30,641,641,0,58,16.8
송파구,S010000524,잠실여자고등학교,사립,일반고등학교,단설,19830513,1171010400,37.5023233,127.1130974,녀,24.1,12.7,39,938,0,938,74,17.7
중구,S010000525,장충고등학교,사립,일반고등학교,단설,19470901,1114016200,37.5526811,127.006058,남,19.7,9.9,20,394,394,0,40,16.2
영등포구,S010000526,장훈고등학교,사립,자율고등학교,단설,19640113,1156013200,37.5133437,126.9162309,남,27.4,15.6,34,933,933,0,60,17.1
노원구,S010000527,재현고등학교,사립,일반고등학교,단설,19780303,1135010600,37.660141,127.079847,남,28.4,14,36,1022,1022,0,73,17.1
송파구,S010000528,정신여자고등학교,사립,일반고등학교,단설,19871020,1171010100,37.508824,127.071909,녀,30,16.1,36,1079,0,1079,67,16.7
도봉구,S010000529,정의여자고등학교,사립,일반고등학교,단설,19761007,1132010500,37.652905,127.031038,녀,24.3,12.5,36,875,0,875,70,17.2
용산구,S010000530,중경고등학교,공립,자율고등학교,단설,19820301,1117012900,37.5176813,126.9756393,남녀공학,18.7,11.2,24,448,147,301,40,16
